title,love,score,tags,play_times
鬼灭之刃 刀匠村篇,1564.6万追番,9.2,"[""漫画改"",""奇幻"",""热血"",""战斗""]",1900.0万
鬼灭之刃 游郭篇,1409.4万追番,9.7,"[""漫画改"",""热血"",""战斗"",""奇幻""]",2800.0万
鬼灭之刃 无限列车篇,1334.2万追番,9.8,"[""漫画改"",""热血"",""战斗"",""奇幻""]",2000.0万
鬼灭之刃,1270.8万追番,9.7,"[""漫画改"",""战斗"",""热血"",""声控""]",10000.0万
咒术回战 第二季,1253.2万追番,9.4,"[""漫画改"",""热血"",""战斗"",""奇幻""]",1800.0万
咒术回战,1246.8万追番,9.7,"[""漫画改"",""战斗"",""热血"",""奇幻""]",8700.0万
间谍过家家 第二季,1227.7万追番,9.6,"[""漫画改"",""日常"",""搞笑""]",6630.1万
间谍过家家,1223.7万追番,9.7,"[""漫画改"",""战斗"",""搞笑"",""日常""]",7600.0万
辉夜大小姐想让我告白 剧场版,981万追番,,"[""漫画改"",""搞笑"",""恋爱"",""校园""]",405.1万
间谍过家家 中配版,964.9万追番,8.9,"[""漫画改"",""战斗"",""搞笑"",""日常""]",3861.8万
辉夜大小姐想让我告白 -究极浪漫-,934.4万追番,9.5,"[""漫画改"",""搞笑"",""恋爱"",""校园""]",1200.0万
间谍过家家 粤配版,922万追番,9.6,"[""漫画改"",""战斗"",""搞笑"",""日常""]",2198.2万
关于我转生变成史莱姆这档事 第二季,910.2万追番,8.9,"[""架空"",""小说改"",""奇幻"",""战斗""]",4400.0万
工作细胞：细胞大作战,904.4万追剧,9.2,"[""喜剧"",""动画""]",1259.3万
国王排名,902.3万追番,7.0,"[""漫画改"",""冒险"",""励志"",""奇幻""]",5100.0万
紫罗兰永恒花园,881.6万追番,9.8,"[""治愈"",""励志"",""职场"",""催泪""]",2000.0万
国王排名 勇气的宝箱,874.8万追番,7.7,"[""漫画改"",""冒险"",""励志"",""奇幻""]",2514.7万
小林家的龙女仆 第二季,868.7万追番,9.6,"[""漫画改"",""搞笑"",""日常"",""萌系""]",1300.0万
Re：从零开始的异世界生活 第二季 后半,863.8万追番,9.9,"[""小说改"",""穿越"",""奇幻"",""冒险""]",1100.0万
工作细胞 第二季,837.1万追番,9.7,"[""漫画改"",""搞笑"",""战斗"",""日常""]",8045万
关于我转生变成史莱姆这档事 转生史莱姆日记,835.9万追番,9.7,"[""漫画改"",""日常"",""搞笑"",""穿越""]",1100.0万
小林家的龙女仆,829.4万追番,9.7,"[""萌系"",""搞笑"",""日常"",""漫画改""]",3500.0万
冰菓,828.7万追番,9.8,"[""恋爱"",""推理"",""校园"",""日常""]",1700.0万
工作细胞,827.3万追番,9.6,"[""声控"",""战斗"",""漫画改"",""搞笑""]",2500.0万
紫罗兰永恒花园 剧场版 ,821万追剧,9.9,"[""动画"",""奇幻"",""爱情"",""剧情""]",3087.1万
青春猪头少年不会梦到兔女郎学姐,820.1万追番,9.8,"[""小说改"",""恋爱"",""奇幻"",""校园""]",2400.0万
