title,love,score,tags,play_times
鬼灭之刃 游郭篇,1394万追番,9.7,"['漫画改', '热血', '奇幻', '战斗']",17000.0万
鬼灭之刃 无限列车篇,1298.6万追番,9.8,"['漫画改', '热血', '战斗']",15000.0万
鬼灭之刃,1182.8万追番,9.7,"['漫画改', '战斗', '热血', '声控']",86000.0万
咒术回战,1108万追番,9.7,"['漫画改', '战斗', '热血']",70000.0万
间谍过家家,954.5万追番,9.8,"['漫画改', '战斗', '搞笑', '日常']",23000.0万
国王排名,928.8万追番,7.0,"['漫画改', '奇幻', '冒险', '励志']",48000.0万
工作细胞：细胞大作战,909.6万追剧,9.2,"['喜剧', '动画']",822.6万
辉夜大小姐想让我告白 -究极浪漫-,908.1万追番,9.7,"['漫画改', '搞笑', '日常', '校园']",5402.2万
关于我转生变成史莱姆这档事 第二季,896.8万追番,8.9,"['小说改', '奇幻', '战斗', '魔法']",38000.0万
小林家的龙女仆 第二季,855万追番,9.5,"['漫画改', '搞笑', '日常', '萌系']",11000.0万
Re：从零开始的异世界生活 第二季 后半,849.2万追番,9.9,"['小说改', '穿越', '奇幻']",9262.4万
工作细胞 第二季,835.7万追番,9.7,"['漫画改', '搞笑', '战斗', '日常']",7168.6万
关于我转生变成史莱姆这档事 转生史莱姆日记,830.5万追番,9.7,"['漫画改', '日常', '搞笑', '穿越']",9563.7万
工作细胞,801.9万追番,9.6,"['搞笑', '战斗', '日常', '声控']",23000.0万
紫罗兰永恒花园 剧场版 ,795.8万追剧,9.9,"['剧情', '爱情', '奇幻', '动画']",2047万
小林家的龙女仆,788.6万追番,9.7,"['萌系', '搞笑', '日常', '漫画改']",33000.0万
Re：从零开始的异世界生活 第二季 前半,773.7万追番,9.7,"['小说改', '穿越', '奇幻']",13000.0万
紫罗兰永恒花园,773.1万追番,9.8,"['治愈', '励志', '职场', '催泪']",16000.0万
鬼灭之刃 中配版,767.4万追番,9.1,"['漫画改', '热血', '战斗', '励志']",14000.0万
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,759.1万追番,9.8,"['搞笑', '校园', '恋爱', '漫画改']",21000.0万
辉夜大小姐想让我告白～天才们的恋爱头脑战～,758.4万追番,9.8,"['恋爱', '校园', '智斗', '日常']",27000.0万
青春猪头少年不会梦到兔女郎学姐,754.6万追番,9.8,"['小说改', '恋爱', '奇幻', '校园']",21000.0万
JOJO的奇妙冒险 石之海,745.1万追番,9.9,"['漫画改', '热血', '战斗', '奇幻']",12000.0万
关于我转生变成史莱姆这档事,737.4万追番,9.4,"['小说改', '奇幻', '战斗', '魔法']",42000.0万
埃罗芒阿老师,714.7万追番,9.3,"['小说改', '搞笑', '恋爱']",22000.0万
冰菓,712.7万追番,9.8,"['恋爱', '推理', '校园', '日常']",13000.0万
欢迎来到实力至上主义的教室,709.6万追番,8.8,"['小说改', '校园']",23000.0万
堀与宫村,690.2万追番,9.8,"['漫画改', '校园', '恋爱', '少女']",22000.0万
Re：从零开始的异世界生活 新编集版,629.9万追番,9.6,"['穿越', '奇幻', '魔法', '架空']",7626.6万
某科学的超电磁炮T,628.4万追番,9.8,"['漫画改', '战斗', '科幻', '校园']",21000.0万
OVERLORD,623.5万追番,9.6,"['奇幻', '战斗', '小说改', '架空']",41000.0万
因为太怕痛就全点防御力了,618.6万追番,9.0,"['小说改', '穿越', '奇幻', '萌系']",23000.0万
刀剑神域 爱丽丝篇 异界战争 -终章-,611.6万追番,4.8,"['小说改', '穿越', '架空', '科幻']",9610.8万
紫罗兰永恒花园外传：永远与自动手记人偶,601.5万追剧,9.9,"['剧情', '动画', '小说改']",3702.6万
转生成蜘蛛又怎样！,598.2万追番,7.8,"['奇幻', '穿越', '冒险', '励志']",37000.0万
盾之勇者成名录 第二季,588.6万追番,6.1,"['架空', '小说改', '穿越', '奇幻']",6507.3万
约会大作战 第四季,581.7万追番,9.8,"['小说改', '奇幻', '战斗', '萌系']",5138万
在下坂本，有何贵干？,579.3万追番,9.3,"['搞笑', '校园', '日常']",21000.0万
夏目友人帐 唤石者与怪异的访客,567万追番,9.9,"['漫画改', '奇幻', '治愈']",1365.6万
徒然喜欢你,563.5万追番,9.7,"['恋爱', '校园', '漫画改', '搞笑']",15000.0万
我的青春恋爱物语果然有问题。完,555.6万追番,8.9,"['校园', '恋爱', '小说改']",8647.6万
四月是你的谎言,551.8万追番,9.8,"['少女', '音乐', '催泪', '恋爱']",17000.0万
JOJO的奇妙冒险,550.8万追番,9.8,"['漫画改', '战斗', '奇幻', '冒险']",18000.0万
OVERLORD Ⅲ,550.1万追番,9.4,"['小说改', '奇幻', '智斗', '战斗']",39000.0万
某科学的超电磁炮,541.8万追番,9.7,"['校园', '战斗', '奇幻', '漫画改']",16000.0万
OVERLORD Ⅱ,537.9万追番,9.6,"['小说改', '奇幻', '战斗', '魔法']",37000.0万
命运-冠位指定 冠位时间神殿所罗门,525.7万追番,8.5,"['游戏改', '奇幻', '战斗']",1206万
刀剑神域 爱丽丝篇 异界战争,513.9万追番,9.1,"['小说改', '穿越', '科幻', '架空']",9719万
Angels of Death,511.2万追番,9.5,"['恋爱', '游戏改', '冒险']",12000.0万
岸边露伴 一动也不动,510.1万追番,9.8,"['漫画改', '奇幻', '战斗']",2533.5万
这个勇者明明超强却过分慎重,509.2万追番,9.7,"['小说改', '穿越', '奇幻', '战斗']",17000.0万
盾之勇者成名录,505.5万追番,7.4,"['小说改', '奇幻', '魔法', '架空']",28000.0万
Charlotte,501.6万追番,9.4,"['日常', '校园', '奇幻', '催泪']",16000.0万
总之就是非常可爱,501.6万追番,9.5,"['日常', '恋爱', '漫画改']",15000.0万
青春猪头少年不会梦到怀梦美少女,500.8万追番,9.8,"['小说改', '穿越', '奇幻', '校园']",2499.9万
Re：从零开始的异世界生活 Memory Snow(雪之回忆),492.4万追番,9.7,"['小说改', '穿越', '奇幻', '日常']",1417.1万
Re：从零开始的异世界生活 冰结之绊,491.9万追番,9.5,"['小说改', '奇幻', '战斗']",1426.7万
干物妹！小埋,488万追番,9.3,"['日常', '萌系']",18000.0万
虚构推理,486.9万追番,9.2,"['漫画改', '神魔', '恋爱', '奇幻']",9923.4万
"世界顶尖的暗杀者,转生为异世界贵族",484.6万追番,9.2,"['小说改', '穿越', '战斗']",14000.0万
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,484.4万追番,9.5,"['游戏改', '奇幻', '战斗', '冒险']",16000.0万
干物妹！小埋R,483.9万追番,9.4,"['萌系', '搞笑', '日常', '漫画改']",15000.0万
命运-冠位指定 -月光／失落之室-,483.5万追番,9.5,"['游戏改', '奇幻']",543.8万
JOJO的奇妙冒险 黄金之风,482.2万追番,9.8,"['热血', '智斗', '战斗', '漫画改']",47000.0万
命运-冠位嘉年华,479.9万追番,9.8,"['原创', '日常', '搞笑']",847.2万
异度侵入 ID:INVADED,476.9万追番,9.8,"['原创', '科幻', '推理']",12000.0万
中二病也要谈恋爱！,476.7万追番,9.8,"['恋爱', '校园', '小说改', '搞笑']",5227.2万
致不灭的你,475.8万追番,9.6,"['漫画改', '奇幻', '冒险', '催泪']",13000.0万
五等分的新娘∬,460.6万追番,9.7,"['漫画改', '校园', '恋爱']",6756.1万
NO GAME NO LIFE 游戏人生,457.9万追番,9.8,"['奇幻', '智斗', '架空', '穿越']",8520.5万
刀剑神域 Alicization,456.4万追番,8.3,"['小说改', '热血', '奇幻', '战斗']",18000.0万
约战狂三外传,452.5万追番,9.6,"['小说改', '战斗', '校园']",2344.9万
多罗罗,451.6万追番,9.4,"['热血', '战斗', '冒险']",18000.0万
Fate/stay night [Unlimited Blade Works] 第一季,451.2万追番,9.5,"['奇幻', '热血']",18000.0万
我的青春恋爱物语果然有问题。,448.3万追番,9.7,"['日常', '校园', '恋爱', '小说改']",9396.6万
JOJO的奇妙冒险 星尘远征军,442.6万追番,9.8,"['漫画改', '奇幻', '战斗', '冒险']",15000.0万
碧蓝之海,440.1万追番,9.9,"['搞笑', '校园', '社团', '运动']",14000.0万
我们仍未知道那天所看见的花的名字。,428.8万追番,9.6,"['日常', '治愈', '催泪', '原创']",5124.4万
路人女主的养成方法,427.7万追番,9.4,"['恋爱', '小说改']",14000.0万
JOJO的奇妙冒险 星尘远征军 埃及篇,420.7万追番,9.9,"['漫画改', '战斗', '奇幻', '冒险']",13000.0万
命运之夜——天之杯II ：迷失之蝶,420.4万追剧,9.7,"['剧情', '奇幻', '动画']",2312.4万
Fate/Apocrypha,418.9万追番,6.0,"['热血', '战斗']",15000.0万
名侦探柯南,415.1万追番,9.8,"['漫画改', '推理', '智斗']",60000.0万
路人女主的养成方法 Fine,414.6万追番,9.8,"['小说改', '恋爱', '社团']",1390.4万
Fate/Zero 第一季,413.8万追番,9.6,"['时泪', '奇幻', '战斗', '热血']",13000.0万
五等分的新娘,411.3万追番,8.8,"['恋爱', '校园', '日常', '漫画改']",11000.0万
境界的彼方,400.7万追番,9.5,"['恋爱', '奇幻', '战斗']",4850.2万
月刊少女野崎君,386.7万追番,9.8,"['搞笑', '校园', '少女', '漫画改']",4785.9万
龙王的工作！,385.3万追番,9.1,"['小说改', '职场']",11000.0万
樱花庄的宠物女孩,381.4万追番,9.7,"['校园', '催泪', '恋爱', '小说改']",5525.9万
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,379.3万追番,9.6,"['小说改', '穿越', '搞笑', '恋爱']",6269.3万
齐木楠雄的灾难 始动篇,372.2万追番,9.8,"['漫画改', '奇幻', '日常', '搞笑']",3038.8万
天使降临到我身边,372.2万追番,9.8,"['日常', '治愈', '漫画改', '萌系']",7768.7万
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),371万追番,9.7,"['漫画改', '热血', '科幻', '冒险']",6530.9万
动物狂想曲 / BEASTARS 第二季,368.4万追番,9.1,"['漫画改', '校园', '恋爱', '架空']",4471.7万
月色真美,367.6万追番,9.8,"['恋爱', '校园', '原创', '治愈']",7066.1万
Re：创造主,366.4万追番,8.9,"['科幻', '奇幻', '原创', '穿越']",10000.0万
地缚少年花子君,365.9万追番,9.4,"['漫画改', '搞笑', '少女', '奇幻']",7188.6万
路人女主的养成方法 ♭,365.2万追番,9.7,"['小说改', '恋爱', '校园', '社团']",2773万
笨女孩,361.3万追番,9.3,"['搞笑', '校园', '漫画改']",12000.0万
卫宫家今天的饭,359.9万追番,9.8,"['日常', '美食']",8565.3万
平凡职业造就世界最强,359.6万追番,6.1,"['小说改', '奇幻', '战斗', '冒险']",15000.0万
